subtest;age;rw;sw
WA;34,35,36,37,38,39;15;117
WA;34,35,36,37,38,39;16;120
WA;34,35,36,37,38,39;17;123
WA;34,35,36,37,38,39;18;126
WA;34,35,36,37,38,39;19;130
WA;34,35,36,37,38,39;20;133
WA;40,41,42,43,44,45;0;73
WA;40,41,42,43,44,45;1;76
WA;40,41,42,43,44,45;2;80
WA;40,41,42,43,44,45;3;83
WA;40,41,42,43,44,45;4;85
WA;40,41,42,43,44,45;5;89
WA;40,41,42,43,44,45;6;92
WA;40,41,42,43,44,45;7;95
WA;40,41,42,43,44,45;8;98
WA;40,41,42,43,44,45;9;101
WA;40,41,42,43,44,45;10;104
WA;40,41,42,43,44,45;11;108
WA;40,41,42,43,44,45;12;111
WA;40,41,42,43,44,45;13;114
WA;40,41,42,43,44,45;14;117
WA;40,41,42,43,44,45;15;120
WA;40,41,42,43,44,45;16;123
WA;40,41,42,43,44,45;17;126
WA;40,41,42,43,44,45;18;130
WA;40,41,42,43,44,45;19;133
WA;40,41,42,43,44,45;20;136
WA;46;0;75
WA;46;1;78
WA;46;2;81
WA;46;3;84
WA;46;4;87
WA;46;5;90
WA;46;6;94
WA;46;7;97
WA;46;8;100
WA;46;9;103
WA;46;10;106
WA;46;11;110
WA;46;12;113
WA;46;13;116
WA;46;14;119
WA;46;15;123
WA;46;16;126
WA;46;17;129
WA;46;18;132
WA;46;19;135
WA;46;20;139
