subtest;age;rw;sw
ZR;34,35,36,37,38,39;2;83
ZR;34,35,36,37,38,39;3;86
ZR;34,35,36,37,38,39;4;88
ZR;34,35,36,37,38,39;5;90
ZR;34,35,36,37,38,39;6;92
ZR;34,35,36,37,38,39;7;95
ZR;34,35,36,37,38,39;8;97
ZR;34,35,36,37,38,39;9;99
ZR;34,35,36,37,38,39;10;102
ZR;34,35,36,37,38,39;11;104
ZR;34,35,36,37,38,39;12;106
ZR;34,35,36,37,38,39;13;108
ZR;34,35,36,37,38,39;14;111
ZR;34,35,36,37,38,39;15;113
ZR;34,35,36,37,38,39;16;115
ZR;34,35,36,37,38,39;17;117
ZR;34,35,36,37,38,39;18;120
ZR;34,35,36,37,38,39;19;122
ZR;34,35,36,37,38,39;20;124
ZR;40,41,42,43,44,45;0;80
ZR;40,41,42,43,44,45;1;82
ZR;40,41,42,43,44,45;2;84
ZR;40,41,42,43,44,45;3;86
ZR;40,41,42,43,44,45;4;89
ZR;40,41,42,43,44,45;5;91
ZR;40,41,42,43,44,45;6;93
ZR;40,41,42,43,44,45;7;95
ZR;40,41,42,43,44,45;8;98
ZR;40,41,42,43,44,45;9;100
ZR;40,41,42,43,44,45;10;102
ZR;40,41,42,43,44,45;11;104
ZR;40,41,42,43,44,45;12;107
ZR;40,41,42,43,44,45;13;109
ZR;40,41,42,43,44,45;14;111
ZR;40,41,42,43,44,45;15;113
ZR;40,41,42,43,44,45;16;115
ZR;40,41,42,43,44,45;17;118
ZR;40,41,42,43,44,45;18;120
ZR;40,41,42,43,44,45;19;122
ZR;40,41,42,43,44,45;20;125
ZR;46;0;81
ZR;46;1;83
ZR;46;2;85
ZR;46;3;88
ZR;46;4;90
ZR;46;5;92
ZR;46;6;94
ZR;46;7;97
ZR;46;8;99
ZR;46;9;101
ZR;46;10;103
ZR;46;11;105
ZR;46;12;108
ZR;46;13;110
ZR;46;14;112
ZR;46;15;114
ZR;46;16;116
ZR;46;17;118
ZR;46;18;120
ZR;46;19;123
ZR;46;20;125
