subtest;age;rw;sw
WU;34,35,36,37,38,39;15;117
WU;34,35,36,37,38,39;16;120
WU;34,35,36,37,38,39;17;123
WU;34,35,36,37,38,39;18;125
WU;34,35,36,37,38,39;19;128
WU;34,35,36,37,38,39;20;131
WU;40,41,42,43,44,45;0;78
WU;40,41,42,43,44,45;1;81
WU;40,41,42,43,44,45;2;84
WU;40,41,42,43,44,45;3;86
WU;40,41,42,43,44,45;4;89
WU;40,41,42,43,44,45;5;91
WU;40,41,42,43,44,45;6;95
WU;40,41,42,43,44,45;7;97
WU;40,41,42,43,44,45;8;100
WU;40,41,42,43,44,45;9;103
WU;40,41,42,43,44,45;10;105
WU;40,41,42,43,44,45;11;108
WU;40,41,42,43,44,45;12;111
WU;40,41,42,43,44,45;13;114
WU;40,41,42,43,44,45;14;116
WU;40,41,42,43,44,45;15;119
WU;40,41,42,43,44,45;16;122
WU;40,41,42,43,44,45;17;124
WU;40,41,42,43,44,45;18;127
WU;40,41,42,43,44,45;19;130
WU;40,41,42,43,44,45;20;133
WU;46;0;78
WU;46;1;81
WU;46;2;84
WU;46;3;87
WU;46;4;89
WU;46;5;92
WU;46;6;95
WU;46;7;98
WU;46;8;101
WU;46;9;103
WU;46;10;106
WU;46;11;109
WU;46;12;112
WU;46;13;115
WU;46;14;117
WU;46;15;120
WU;46;16;123
WU;46;17;125
WU;46;18;129
WU;46;19;131
WU;46;20;134
